session_id,player_id,player_name,game_id,game_name,genre,platform,region,rank,score,kills,deaths,assists,win,duration_minutes,level,experience_points,coins_earned,accuracy,damage_done,healing_done,items_collected,matches_played,timestamp
1,101,Alice,201,Chess,Strategy,PC,India,10,1200,0,0,0,1,30,5,2000,150,0.95,0,0,3,50,2025-03-20 10:00:00
1,102,Bob,201,Chess,Strategy,PC,India,25,900,0,0,0,0,30,4,1500,100,0.85,0,0,2,40,2025-03-20 10:00:00
2,103,Charlie,202,Poker,Card,Mobile,USA,15,500,0,0,0,1,60,6,2500,200,0.75,0,0,1,30,2025-03-20 11:00:00
2,104,David,202,Poker,Card,Mobile,USA,50,200,0,0,0,0,60,3,1000,50,0.60,0,0,1,20,2025-03-20 11:00:00
3,101,Alice,201,Chess,Strategy,PC,India,8,1300,0,0,0,1,40,6,3000,250,0.97,0,0,4,60,2025-03-21 09:00:00
4,105,Eve,203,Carrom,Board,Mobile,India,20,700,0,0,0,1,20,4,1800,120,0.88,0,0,2,25,2025-03-21 12:00:00
5,106,Frank,202,Poker,Card,Mobile,UK,60,300,0,0,0,0,50,3,1200,80,0.65,0,0,1,15,2025-03-21 14:00:00
6,107,Grace,201,Chess,Strategy,PC,India,30,800,0,0,0,0,35,4,1600,90,0.80,0,0,2,35,2025-03-22 15:00:00
7,108,Hank,204,Shooter,FPS,PC,USA,5,2000,25,10,5,1,45,10,5000,400,0.70,3000,200,10,100,2025-03-22 16:00:00
8,109,Ivy,204,Shooter,FPS,PC,USA,12,1800,20,12,7,1,50,9,4500,350,0.68,2800,180,9,95,2025-03-22 16:30:00
9,110,Jack,204,Shooter,FPS,PC,UK,40,900,10,20,3,0,40,6,2200,200,0.55,1500,100,5,60,2025-03-23 10:00:00
10,111,Kate,205,Racing,Sports,Console,India,18,1500,0,0,0,1,25,7,3000,250,0.92,0,0,2,70,2025-03-23 11:00:00
11,112,Leo,205,Racing,Sports,Console,India,35,1100,0,0,0,0,30,5,2000,180,0.85,0,0,2,55,2025-03-23 11:30:00
12,113,Mia,206,Football,Sports,Console,USA,7,2100,5,2,4,1,60,11,6000,500,0.88,2500,300,8,120,2025-03-24 09:00:00
13,114,Nina,206,Football,Sports,Console,USA,22,1700,3,4,2,0,60,9,4500,350,0.80,2000,250,6,110,2025-03-24 09:30:00
14,115,Oscar,207,Cricket,Sports,Mobile,India,9,1900,2,1,1,1,55,10,5500,450,0.91,2200,100,7,130,2025-03-24 10:00:00
15,116,Paul,207,Cricket,Sports,Mobile,India,28,1300,1,3,0,0,55,7,3000,250,0.78,1500,80,5,90,2025-03-24 10:30:00
16,117,Quinn,208,BattleRoyale,FPS,PC,UK,3,2500,30,8,10,1,50,12,7000,600,0.72,3500,300,12,150,2025-03-25 12:00:00
17,118,Raj,208,BattleRoyale,FPS,PC,India,14,1800,22,15,6,1,50,10,5000,450,0.65,3000,250,10,140,2025-03-25 12:30:00
18,119,Sara,208,BattleRoyale,FPS,PC,India,45,1000,12,25,2,0,50,7,2500,200,0.50,1800,150,6,80,2025-03-25 13:00:00
19,120,Tom,209,Quiz,Trivia,Mobile,USA,11,1600,0,0,0,1,20,6,2800,200,0.95,0,0,3,65,2025-03-26 09:00:00
20,121,Usha,209,Quiz,Trivia,Mobile,India,19,1400,0,0,0,1,20,5,2400,180,0.93,0,0,2,60,2025-03-26 09:30:00
